M family Used Cars|111 Old Benbrook Rd|817-555-5555
20334|2019|Ford|Explorer|SUV|Black|62541|21500.0
30456|2015|Honda|Civic|car|Silver|98432|10995.0
40578|2022|Chevrolet|Silverado|truck|Red|22100|38500.0
50690|2018|Nissan|Altima|car|Blue|74321|13995.0
60712|2021|Jeep|Wrangler|SUV|Green|31200|34750.0
70834|2012|Ford|Ranger|truck|Gray|143500|8995.0
80956|2020|Honda|Odyssey|van|White|45670|27500.0
91078|2016|BMW|X5|SUV|Black|88234|22995.0
11200|2024|Toyota|Tacoma|truck|Blue|5100|41995.0
12322|2014|Chevrolet|Malibu|car|Red|112400|7500.0
13444|2023|Kia|Telluride|SUV|Gray|18900|38995.0
14566|2017|Honda|Pilot|van|Silver|79300|19995.0
15688|2011|Ford|Mustang|car|Yellow|134200|9995.0
16800|2022|Ram|1500|truck|Black|28700|44500.0
17922|2019|Subaru|Outback|car|Green|55400|18995.0
18044|2013|Toyota|Sienna|van|White|121300|9500.0
19166|2021|Hyundai|Tucson|SUV|Red|33400|26995.0
20288|2016|Nissan|Frontier|truck|Gray|97800|13500.0
21400|2024|Honda|CRV|SUV|Blue|3200|35995.0
